Time,id,name,status_code,power_w,rated_v,real_v,current_a
00:00,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.5,1.83
00:00,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.6,1.83
00:00,f3_dev_3,3F 加壓馬達(EP),0,0.0,220,219.5,0.0
00:00,f3_dev_4,3F 照明 1(EP),1,6.4,110,109.7,0.06
00:00,f3_dev_5,3F 照明 2(EP),1,6.4,110,109.7,0.06
00:00,f3_dev_6,3F 冷氣(L3),1,142.2,220,219.3,0.65
00:00,f3_dev_7,3F 照明 1(L3),1,10.2,110,109.7,0.09
00:00,f3_dev_8,3F 照明 2(L3),1,10.2,110,109.7,0.09
00:00,f3_dev_9,3F 插座 1(L3),1,16.0,110,109.7,0.15
00:00,f3_dev_10,3F 插座 2(L3),1,16.0,110,109.7,0.15
00:00,f3_dev_11,3F 插座 3(L3),1,16.0,110,109.7,0.15
00:00,f3_dev_12,3F 插座 4(L3),1,16.0,110,109.7,0.15
00:00,f3_dev_13,3F 插座 5(L3),1,16.0,110,109.7,0.15
00:00,f3_dev_14,3F 插座 6(L3),1,16.0,110,109.7,0.15
00:00,f3_dev_15,3F 插座 7(L3),1,16.0,110,109.7,0.15
00:00,f3_dev_16,3F 插座 8(L3),1,16.0,110,109.7,0.15
00:15,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.5,1.83
00:15,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.6,1.83
00:15,f3_dev_3,3F 加壓馬達(EP),0,0.0,220,219.5,0.0
00:15,f3_dev_4,3F 照明 1(EP),1,6.4,110,109.7,0.06
00:15,f3_dev_5,3F 照明 2(EP),1,6.4,110,109.7,0.06
00:15,f3_dev_6,3F 冷氣(L3),1,130.8,220,219.3,0.6
00:15,f3_dev_7,3F 照明 1(L3),1,10.2,110,109.7,0.09
00:15,f3_dev_8,3F 照明 2(L3),1,10.2,110,109.7,0.09
00:15,f3_dev_9,3F 插座 1(L3),1,16.0,110,109.7,0.15
00:15,f3_dev_10,3F 插座 2(L3),1,16.0,110,109.7,0.15
00:15,f3_dev_11,3F 插座 3(L3),1,16.0,110,109.7,0.15
00:15,f3_dev_12,3F 插座 4(L3),1,16.0,110,109.7,0.15
00:15,f3_dev_13,3F 插座 5(L3),1,16.0,110,109.7,0.15
00:15,f3_dev_14,3F 插座 6(L3),1,16.0,110,109.7,0.15
00:15,f3_dev_15,3F 插座 7(L3),1,16.0,110,109.7,0.15
00:15,f3_dev_16,3F 插座 8(L3),1,16.0,110,109.7,0.15
00:30,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.5,1.83
00:30,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.6,1.83
00:30,f3_dev_3,3F 加壓馬達(EP),0,0.0,220,219.5,0.0
00:30,f3_dev_4,3F 照明 1(EP),1,6.4,110,109.7,0.06
00:30,f3_dev_5,3F 照明 2(EP),1,6.4,110,109.7,0.06
00:30,f3_dev_6,3F 冷氣(L3),1,116.6,220,219.3,0.53
00:30,f3_dev_7,3F 照明 1(L3),1,10.2,110,109.7,0.09
00:30,f3_dev_8,3F 照明 2(L3),1,10.2,110,109.7,0.09
