Time,soc,battery_power_kw,current_a
00:00,55.94,-5.0,22.97
00:15,51.66,3.25,14.78
00:30,57.6,-5.0,22.97
00:45,63.54,-5.0,22.97
01:00,69.47,-5.0,22.97
01:15,75.41,-5.0,22.97
01:30,80.32,-4.13,18.97
01:45,86.26,-5.0,22.97
02:00,90.0,-3.15,14.45
02:15,90.0,-0.0,0.0
02:30,90.0,-0.0,0.0
02:45,90.0,-0.0,0.0
03:00,90.0,-0.0,0.0
03:15,90.0,-0.0,0.0
03:30,90.0,-0.0,0.0
03:45,90.0,-0.0,0.0
04:00,90.0,-0.0,0.0
04:15,90.0,-0.0,0.0
04:30,90.0,-0.0,0.0
04:45,90.0,-0.0,0.0
05:00,90.0,-0.0,0.0
05:15,90.0,-0.0,0.0
05:30,90.0,-0.0,0.0
05:45,90.0,-0.0,0.0
06:00,85.94,3.08,14.03
06:15,90.0,-3.42,15.66
06:30,90.0,-0.0,0.0
06:45,90.0,-0.0,0.0
07:00,90.0,-0.0,0.0
07:15,88.04,1.49,6.77
07:30,90.0,-1.65,7.52
07:45,90.0,-0.0,0.0
08:00,90.0,-0.0,0.0
08:15,89.93,0.05,0.24
08:30,89.82,0.09,0.39
08:45,90.0,-0.15,0.7
09:00,90.0,-0.0,0.0
09:15,90.0,-0.0,0.0
09:30,87.97,1.55,7.04
09:45,87.97,-0.0,0.0
10:00,87.97,-0.0,0.0
10:15,87.97,-0.0,0.0
10:30,87.97,-0.0,0.0
10:45,87.97,-0.0,0.0
11:00,89.36,-1.18,5.36
11:15,90.0,-0.54,2.43
11:30,90.0,-0.0,0.0
11:45,90.0,-0.0,0.0
12:00,90.0,-0.0,0.0
12:15,88.16,1.4,6.37
12:30,88.16,-0.0,0.0
12:45,90.0,-1.55,7.06
13:00,90.0,-0.0,0.0
13:15,90.0,-0.0,0.0
13:30,90.0,-0.0,0.0
13:45,90.0,-0.0,0.0
14:00,90.0,-0.0,0.0
14:15,90.0,-0.0,0.0
14:30,90.0,-0.0,0.0
14:45,90.0,-0.0,0.0
15:00,90.0,-0.0,0.0
15:15,90.0,-0.0,0.0
15:30,90.0,-0.0,0.0
15:45,90.0,-0.0,0.0
16:00,90.0,-0.0,0.0
16:15,90.0,-0.0,0.0
16:30,90.0,-0.0,0.0
16:45,90.0,-0.0,0.0
17:00,90.0,-0.0,0.0
17:15,90.0,-0.0,0.0
17:30,90.0,-0.0,0.0
17:45,90.0,-0.0,0.0
18:00,90.0,-0.0,0.0
18:15,90.0,-0.0,0.0
18:30,90.0,-0.0,0.0
18:45,90.0,-0.0,0.0
19:00,90.0,-0.0,0.0
19:15,90.0,-0.0,0.0
19:30,90.0,-0.0,0.0
19:45,90.0,-0.0,0.0
20:00,85.72,3.25,14.78
20:15,81.45,3.25,14.78
20:30,77.17,3.25,14.78
20:45,72.9,3.25,14.78
21:00,68.62,3.25,14.78
21:15,64.34,3.25,14.78
21:30,60.07,3.25,14.78
21:45,55.79,3.25,14.78
22:00,55.07,0.55,2.51
22:15,54.34,0.55,2.51
22:30,53.62,0.55,2.51
22:45,52.9,0.55,2.51
23:00,52.17,0.55,2.51
23:15,51.45,0.55,2.51
23:30,50.72,0.55,2.51
23:45,50.0,0.55,2.51
