Time,總電錶T_當前累積功率(kWh),PV電錶_當前累積功率(kWh),A電錶_當前累積功率(kWh),B電錶_當前累積功率(kWh),C電錶_當前累積功率(kWh),D電錶_當前累積功率(kWh)
00:00,-0.7485,-0.0,-0.74854,0.0,-0.0,-0.0
00:15,-1.49696,-0.0,-1.49703,0.0,-0.0,-0.0
00:30,-2.24543,-0.0,-2.24553,0.0,-0.0,-0.0
00:45,-2.99389,-0.0,-2.99402,0.0,-0.0,-0.0
01:00,-3.74235,-0.0,-3.74252,0.0,-0.0,-0.0
01:15,-4.49081,-0.0,-4.49102,0.0,-0.0,-0.0
01:30,-5.23928,-0.0,-5.23951,-0.0,-0.0,-0.0
01:45,-5.98774,-0.0,-5.98801,-0.0,-0.0,-0.0
02:00,-5.98774,-0.0,-5.98801,-0.0,-0.0,-0.0
02:15,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
02:30,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
02:45,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
03:00,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
03:15,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
03:30,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
03:45,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
04:00,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
04:15,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
04:30,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
04:45,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
05:00,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
05:15,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
05:30,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
05:45,-5.98774,-0.0,-5.98801,0.0,-0.0,-0.0
06:00,-5.23624,-0.0,-5.23654,0.0,-0.0,-0.0
06:15,-4.48468,-0.0,-4.48502,0.0,-0.0,-0.0
06:30,-3.73312,-0.0,-3.73349,0.0,-0.0,-0.0
06:45,-2.98156,-0.0,-2.98196,0.0,-0.0,-0.0
07:00,-2.23,-0.0,-2.23044,0.0,-0.0,-0.0
07:15,-1.47844,-0.0,-1.47891,0.0,-0.0,-0.0
07:30,-0.72688,-0.0,-0.72739,0.0,-0.0,-0.0
07:45,0.02468,-0.0,0.02414,0.0,-0.0,-0.0
08:00,0.77623,-0.0,0.77566,0.0,-0.0,-0.0
08:15,1.52779,-0.0,1.52719,0.0,-0.0,-0.0
08:30,2.27935,-0.0,2.27871,0.0,-0.0,-0.0
08:45,3.03091,-0.0,3.03024,-0.0,-0.0,-0.0
09:00,3.78247,-0.0,3.78176,-0.0,-0.0,-0.0
09:15,4.53403,-0.0,4.53329,-0.0,-0.0,-0.0
09:30,5.28559,-0.0,5.28481,-0.0,-0.0,-0.0
09:45,6.03715,-0.0,6.03634,-0.0,-0.0,-0.0
10:00,6.78871,-0.0,6.78786,-0.0,-0.0,-0.0
10:15,7.54027,-0.0,7.53939,-0.0,-0.0,-0.0
