Time,Hour,Minute,電池_SOC(%),供電模式,線路損失(kW),EP_匯流排電壓_L1(V),EP_匯流排電壓_L2(V),EP_總電流_L1(A),EP_總電流_L2(A),L1_匯流排電壓_L1(V),L1_匯流排電壓_L2(V),L1_總電流_L1(A),L1_總電流_L2(A),L2_匯流排電壓_L1(V),L2_匯流排電壓_L2(V),L2_總電流_L1(A),L2_總電流_L2(A),L3_匯流排電壓_L1(V),L3_匯流排電壓_L2(V),L3_總電流_L1(A),L3_總電流_L2(A),總電錶T_當前累積功率(kWh),PV電錶_當前累積功率(kWh),A電錶_當前累積功率(kWh),B電錶_當前累積功率(kWh),C電錶_當前累積功率(kWh),D電錶_當前累積功率(kWh)
00:00,0,0,47.91,市電供電,0.0021,109.718,109.749,3.41,6.97,109.687,109.692,0.8,0.8,109.678,109.659,1.73,4.41,109.682,109.687,1.33,1.33,0.00044,0.0,-0.28467,0.04407,0.16835,0.07269
00:15,0,15,45.88,市電供電,0.0019,109.716,109.748,3.19,6.75,109.687,109.692,0.77,0.77,109.679,109.661,1.64,4.24,109.682,109.688,1.27,1.27,0.00088,0.0,-0.55742,0.08636,0.3294,0.14254
00:30,0,30,43.92,市電供電,0.0018,109.714,109.746,2.94,6.51,109.687,109.693,0.73,0.73,109.68,109.663,1.52,4.06,109.682,109.689,1.21,1.21,0.00128,-0.0,-0.81653,0.12643,0.48255,0.20883
00:45,0,45,42.04,市電供電,0.0017,109.712,109.745,2.67,6.25,109.687,109.694,0.69,0.69,109.681,109.665,1.4,3.89,109.683,109.69,1.14,1.14,0.00165,-0.0,-1.06124,0.16403,0.62768,0.27118
01:00,1,0,40.23,市電供電,0.0015,109.71,109.743,2.41,5.99,109.687,109.694,0.64,0.64,109.682,109.666,1.27,3.74,109.683,109.69,1.06,1.06,0.00197,-0.0,-1.2917,0.19913,0.76503,0.32951
01:15,1,15,38.5,市電供電,0.0014,109.709,109.741,2.17,5.75,109.688,109.695,0.6,0.6,109.683,109.668,1.15,3.6,109.684,109.691,0.99,0.99,0.00228,-0.0,-1.5089,0.23186,0.89526,0.38406
01:30,1,30,36.82,市電供電,0.0013,109.707,109.74,1.95,5.54,109.688,109.695,0.56,0.56,109.684,109.669,1.04,3.48,109.685,109.692,0.93,0.93,0.00261,-0.0,-1.71434,0.26248,1.01926,0.43522
01:45,1,45,35.19,市電供電,0.0013,109.706,109.739,1.77,5.37,109.688,109.695,0.53,0.53,109.684,109.67,0.95,3.38,109.685,109.692,0.88,0.88,0.00289,-0.0,-1.91002,0.29131,1.13808,0.48352
02:00,2,0,33.39,市電供電,0.0014,109.705,109.738,1.62,5.22,109.688,109.696,0.5,0.5,109.685,109.67,0.88,3.31,109.685,109.693,0.84,0.84,0.00327,-0.0,-2.09776,0.3187,1.2528,0.52953
02:15,2,15,31.84,市電供電,0.0012,109.704,109.737,1.51,5.12,109.689,109.696,0.48,0.48,109.685,109.671,0.82,3.25,109.686,109.693,0.81,0.81,0.00354,-0.0,-2.27967,0.34501,1.3644,0.5738
02:30,2,30,30.3,市電供電,0.0011,109.703,109.736,1.43,5.04,109.689,109.696,0.47,0.47,109.686,109.671,0.78,3.21,109.686,109.693,0.78,0.78,0.00384,-0.0,-2.45721,0.37052,1.47374,0.61679
02:45,2,45,28.79,市電供電,0.0011,109.703,109.736,1.37,4.99,109.689,109.696,0.45,0.45,109.686,109.672,0.75,3.18,109.686,109.693,0.77,0.77,0.00412,-0.0,-2.63174,0.39547,1.5815,0.65889
03:00,3,0,27.28,市電供電,0.0011,109.702,109.736,1.34,4.96,109.689,109.696,0.45,0.45,109.686,109.672,0.73,3.16,109.686,109.693,0.76,0.76,0.00439,-0.0,-2.80428,0.42005,1.68822,0.70039
03:15,3,15,25.77,市電供電,0.0011,109.702,109.736,1.31,4.94,109.689,109.696,0.44,0.44,109.686,109.672,0.72,3.15,109.686,109.693,0.75,0.75,0.00461,-0.0,-2.97559,0.44439,1.7943,0.7415
03:30,3,30,24.28,市電供電,0.0011,109.702,109.736,1.3,4.92,109.689,109.696,0.44,0.44,109.686,109.672,0.71,3.14,109.686,109.693,0.75,0.75,0.00486,-0.0,-3.14617,0.46858,1.90005,0.78239
03:45,3,45,22.78,市電供電,0.0011,109.702,109.736,1.29,4.92,109.689,109.696,0.44,0.44,109.686,109.672,0.71,3.15,109.686,109.693,0.74,0.74,0.00514,-0.0,-3.3164,0.49269,2.00572,0.82313
04:00,4,0,21.28,市電供電,0.0011,109.702,109.736,1.29,4.92,109.689,109.696,0.44,0.44,109.686,109.672,0.71,3.16,109.686,109.693,0.74,0.74,0.00536,-0.0,-3.4868,0.51675,2.11162,0.8638
04:15,4,15,19.78,市電供電,0.0011,109.702,109.736,1.3,4.93,109.689,109.696,0.44,0.44,109.687,109.671,0.7,3.18,109.686,109.693,0.74,0.74,0.0057,-0.0,-3.65762,0.54077,2.21813,0.90442
04:30,4,30,19.78,市電供電,0.0012,109.602,109.635,3.91,0.27,109.626,109.633,0.44,0.44,109.624,109.608,0.7,3.23,109.624,109.631,0.74,0.74,0.29252,-0.0,-3.54314,0.56479,2.32585,0.94501
04:45,4,45,19.78,市電供電,0.0012,109.602,109.635,3.91,0.27,109.626,109.633,0.44,0.44,109.624,109.607,0.7,3.3,109.623,109.63,0.74,0.74,0.58149,-0.0,-3.4286,0.58879,2.43569,0.9856
05:00,5,0,19.78,市電供電,0.0012,109.602,109.634,3.91,0.27,109.626,109.632,0.44,0.44,109.623,109.605,0.7,3.42,109.623,109.629,0.74,0.74,0.87381,-0.0,-3.31401,0.6128,2.54883,1.02618
05:15,5,15,19.78,市電供電,0.0013,109.601,109.632,3.92,0.27,109.625,109.63,0.44,0.44,109.623,109.601,0.7,3.6,109.623,109.627,0.74,0.74,1.17098,-0.0,-3.19939,0.6368,2.66679,1.06676
05:30,5,30,19.78,市電供電,0.0013,109.6,109.63,3.92,0.27,109.625,109.628,0.44,0.44,109.622,109.597,0.7,3.84,109.622,109.625,0.74,0.74,1.47464,-0.0,-3.08474,0.6608,2.79121,1.10734
05:45,5,45,19.78,市電供電,0.0014,109.599,109.627,3.92,0.27,109.624,109.625,0.44,0.44,109.621,109.592,0.7,4.13,109.621,109.622,0.74,0.74,1.78625,-0.0,-2.97007,0.68481,2.92356,1.14792
06:00,6,0,18.81,電池供電,0.0008,110.0,110.0,4.09,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78625,0.04125,-2.97007,0.68481,2.92356,1.14792
06:15,6,15,18.27,電池供電,0.0008,110.0,110.0,4.09,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78625,0.1636,-2.97007,0.68481,2.92356,1.14792
06:30,6,30,17.66,電池供電,0.002,110.0,110.0,5.72,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78625,0.36245,-2.97007,0.68481,2.92356,1.14792
06:45,6,45,17.47,電池供電,0.0021,110.0,110.0,5.72,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78625,0.642,-2.97007,0.68481,2.92356,1.14792
