Time,Hour,Minute,電池_SOC(%),供電模式,EP_匯流排電壓_L1(V),EP_匯流排電壓_L2(V),EP_總電流_L1(A),EP_總電流_L2(A),L1_匯流排電壓_L1(V),L1_匯流排電壓_L2(V),L1_總電流_L1(A),L1_總電流_L2(A),L2_匯流排電壓_L1(V),L2_匯流排電壓_L2(V),L2_總電流_L1(A),L2_總電流_L2(A),L3_匯流排電壓_L1(V),L3_匯流排電壓_L2(V),L3_總電流_L1(A),L3_總電流_L2(A),總電錶T_當前累積功率(kWh),PV電錶_當前累積功率(kWh),A電錶_當前累積功率(kWh),B電錶_當前累積功率(kWh),C電錶_當前累積功率(kWh),D電錶_當前累積功率(kWh)
00:00,0,0,48.61,市電供電,109.05,109.063,3.22,2.3,108.991,108.997,9.19,9.19,108.9,108.906,19.3,19.3,108.892,108.897,20.22,20.22,2.80734,-0.0,0.15042,0.50109,1.05248,1.10288
00:15,0,15,47.22,市電供電,109.784,109.784,4.55,4.55,109.751,109.751,0.0,0.0,109.751,109.751,0.0,0.0,109.751,109.751,0.0,0.0,2.55754,-0.0,-0.09938,0.50109,1.05248,1.10288
00:30,0,30,45.83,市電供電,109.05,109.063,3.22,2.3,108.991,108.996,9.19,9.19,108.9,108.905,19.3,19.3,108.891,108.897,20.22,20.22,5.36505,-0.0,0.05104,1.0022,2.10502,2.20583
00:45,0,45,49.21,市電供電,109.433,109.433,13.72,13.72,109.532,109.532,0.0,0.0,109.532,109.532,0.0,0.0,109.532,109.532,0.0,0.0,6.11663,-0.0,0.80259,1.0022,2.10502,2.20583
01:00,1,0,47.82,市電供電,109.05,109.063,3.22,2.3,108.991,108.996,9.19,9.19,108.9,108.905,19.3,19.3,108.891,108.897,20.22,20.22,8.92414,-0.0,0.95301,1.50331,3.15756,3.30879
01:15,1,15,46.43,市電供電,109.784,109.784,4.55,4.55,109.751,109.751,0.0,0.0,109.751,109.751,0.0,0.0,109.751,109.751,0.0,0.0,8.67435,-0.0,0.70321,1.50331,3.15756,3.30879
01:30,1,30,45.04,市電供電,109.05,109.063,3.22,2.3,108.991,108.996,9.19,9.19,108.9,108.905,19.3,19.3,108.891,108.897,20.22,20.22,11.48186,-0.0,0.85364,2.00443,4.2101,4.41174
01:45,1,45,48.42,市電供電,109.433,109.433,13.72,13.72,109.532,109.532,0.0,0.0,109.532,109.532,0.0,0.0,109.532,109.532,0.0,0.0,12.23344,-0.0,1.60518,2.00443,4.2101,4.41174
02:00,2,0,47.03,市電供電,109.05,109.063,3.22,2.3,108.991,108.996,9.19,9.19,108.9,108.905,19.3,19.3,108.891,108.897,20.22,20.22,15.04095,-0.0,1.75561,2.50554,5.26265,5.51469
02:15,2,15,45.64,市電供電,109.784,109.784,4.55,4.55,109.751,109.751,0.0,0.0,109.751,109.751,0.0,0.0,109.751,109.751,0.0,0.0,14.79115,-0.0,1.50581,2.50554,5.26265,5.51469
02:30,2,30,44.25,市電供電,109.05,109.063,3.22,2.3,108.991,108.996,9.19,9.19,108.9,108.905,19.3,19.3,108.891,108.897,20.22,20.22,17.59866,-0.0,1.65623,3.00666,6.31519,6.61764
02:45,2,45,47.63,市電供電,109.433,109.433,13.72,13.72,109.532,109.532,0.0,0.0,109.532,109.532,0.0,0.0,109.532,109.532,0.0,0.0,18.35024,-0.0,2.40778,3.00666,6.31519,6.61764
03:00,3,0,46.24,市電供電,109.05,109.063,3.22,2.3,108.991,108.996,9.19,9.19,108.9,108.905,19.3,19.3,108.891,108.897,20.22,20.22,21.15775,-0.0,2.5582,3.50777,7.36773,7.7206
03:15,3,15,44.85,市電供電,109.784,109.784,4.55,4.55,109.751,109.751,0.0,0.0,109.751,109.751,0.0,0.0,109.751,109.751,0.0,0.0,20.90795,-0.0,2.3084,3.50777,7.36773,7.7206
03:30,3,30,43.46,市電供電,109.05,109.063,3.22,2.3,108.991,108.996,9.19,9.19,108.9,108.905,19.3,19.3,108.891,108.897,20.22,20.22,23.71546,-0.0,2.45883,4.00889,8.42027,8.82355
03:45,3,45,46.83,市電供電,109.433,109.433,13.72,13.72,109.532,109.532,0.0,0.0,109.532,109.532,0.0,0.0,109.532,109.532,0.0,0.0,24.46704,-0.0,3.21037,4.00889,8.42027,8.82355
04:00,4,0,45.44,市電供電,109.05,109.063,3.22,2.3,108.991,108.996,9.19,9.19,108.9,108.905,19.3,19.3,108.891,108.897,20.22,20.22,27.27455,-0.0,3.3608,4.51,9.47281,9.9265
04:15,4,15,44.06,市電供電,109.784,109.784,4.55,4.55,109.751,109.751,0.0,0.0,109.751,109.751,0.0,0.0,109.751,109.751,0.0,0.0,27.02476,-0.0,3.111,4.51,9.47281,9.9265
04:30,4,30,42.67,市電供電,109.05,109.063,3.22,2.3,108.991,108.996,9.19,9.19,108.9,108.905,19.3,19.3,108.891,108.897,20.22,20.22,29.83227,-0.0,3.26142,5.01112,10.52535,11.02945
04:45,4,45,46.04,市電供電,109.433,109.433,13.72,13.72,109.532,109.532,0.0,0.0,109.532,109.532,0.0,0.0,109.532,109.532,0.0,0.0,30.58385,-0.0,4.01297,5.01112,10.52535,11.02945
05:00,5,0,44.65,市電供電,109.05,109.063,3.22,2.3,108.991,108.996,9.19,9.19,108.9,108.905,19.3,19.3,108.891,108.897,20.22,20.22,33.39136,-0.0,4.16339,5.51223,11.5779,12.1324
05:15,5,15,43.26,市電供電,109.784,109.784,4.55,4.55,109.751,109.751,0.0,0.0,109.751,109.751,0.0,0.0,109.751,109.751,0.0,0.0,33.14156,-0.0,3.91359,5.51223,11.5779,12.1324
05:30,5,30,41.88,市電供電,109.05,109.063,3.22,2.3,108.991,108.996,9.19,9.19,108.9,108.905,19.3,19.3,108.891,108.897,20.22,20.22,35.94907,-0.0,4.06402,6.01335,12.63044,13.23536
05:45,5,45,45.25,市電供電,109.433,109.433,13.72,13.72,109.532,109.532,0.0,0.0,109.532,109.532,0.0,0.0,109.532,109.532,0.0,0.0,36.70065,-0.0,4.81556,6.01335,12.63044,13.23536
06:00,6,0,43.86,市電供電,109.065,109.077,2.46,1.54,109.0,109.006,9.19,9.19,108.909,108.915,19.3,19.3,108.901,108.906,20.22,20.22,39.46696,0.04125,4.9248,6.51446,13.68298,14.33831
06:15,6,15,42.47,市電供電,109.826,109.826,6.77,6.77,109.778,109.778,0.0,0.0,109.778,109.778,0.0,0.0,109.778,109.778,0.0,0.0,39.09517,0.16359,4.553,6.51446,13.68298,14.33831
06:30,6,30,41.08,市電供電,109.121,109.133,0.42,1.34,109.035,109.041,9.18,9.18,108.944,108.95,19.29,19.29,108.936,108.942,20.22,20.21,41.70417,0.36244,4.50498,7.01557,14.73552,15.44126
06:45,6,45,44.46,市電供電,109.521,109.521,9.14,9.14,109.587,109.587,0.0,0.0,109.587,109.587,0.0,0.0,109.587,109.587,0.0,0.0,42.20518,0.61244,5.00598,7.01557,14.73552,15.44126
