Time,Hour,Minute,電池_SOC(%),供電模式,EP_匯流排電壓_L1(V),EP_匯流排電壓_L2(V),EP_總電流_L1(A),EP_總電流_L2(A),L1_匯流排電壓_L1(V),L1_匯流排電壓_L2(V),L1_總電流_L1(A),L1_總電流_L2(A),L2_匯流排電壓_L1(V),L2_匯流排電壓_L2(V),L2_總電流_L1(A),L2_總電流_L2(A),L3_匯流排電壓_L1(V),L3_匯流排電壓_L2(V),L3_總電流_L1(A),L3_總電流_L2(A),總電錶T_當前累積功率(kWh),PV電錶_當前累積功率(kWh),A電錶_當前累積功率(kWh),B電錶_當前累積功率(kWh),C電錶_當前累積功率(kWh),D電錶_當前累積功率(kWh)
00:00,0,0,50.0,市電供電,109.621,109.633,5.91,6.82,109.537,109.543,4.57,4.57,109.521,109.526,6.39,6.39,109.533,109.539,5.02,5.02,0.52702,-0.0,-0.34874,0.25028,0.35028,0.27518
00:15,0,15,45.83,市電供電,109.958,109.958,13.63,13.63,109.86,109.86,0.0,0.0,109.86,109.86,0.0,0.0,109.86,109.86,0.0,0.0,-0.2214,0.0,-1.09719,0.25028,0.35028,0.27518
00:30,0,30,41.67,市電供電,109.621,109.633,5.91,6.82,109.537,109.543,4.57,4.57,109.521,109.526,6.39,6.39,109.533,109.539,5.02,5.02,0.3056,-0.0,-1.44592,0.50054,0.70055,0.55036
00:45,0,45,37.5,市電供電,109.958,109.958,13.63,13.63,109.86,109.86,0.0,0.0,109.86,109.86,0.0,0.0,109.86,109.86,0.0,0.0,-0.44282,-0.0,-2.19437,0.50054,0.70055,0.55036
01:00,1,0,33.33,市電供電,109.621,109.633,5.91,6.82,109.537,109.543,4.57,4.57,109.521,109.526,6.39,6.39,109.533,109.539,5.02,5.02,0.08418,-0.0,-2.54309,0.75081,1.05082,0.82553
01:15,1,15,29.17,市電供電,109.958,109.958,13.63,13.63,109.86,109.86,0.0,0.0,109.86,109.86,0.0,0.0,109.86,109.86,0.0,0.0,-0.66424,-0.0,-3.29154,0.75081,1.05082,0.82553
01:30,1,30,25.0,市電供電,109.621,109.633,5.91,6.82,109.537,109.543,4.57,4.57,109.521,109.526,6.39,6.39,109.533,109.539,5.02,5.02,-0.13724,-0.0,-3.64027,1.00107,1.40108,1.10071
01:45,1,45,20.83,市電供電,109.958,109.958,13.63,13.63,109.86,109.86,0.0,0.0,109.86,109.86,0.0,0.0,109.86,109.86,0.0,0.0,-0.88566,-0.0,-4.38872,1.00107,1.40108,1.10071
02:00,2,0,20.0,市電供電,109.357,109.37,7.78,6.86,109.372,109.378,4.57,4.57,109.356,109.361,6.4,6.4,109.368,109.374,5.03,5.03,0.39057,-0.0,-3.98826,1.25133,1.75134,1.37587
02:15,2,15,20.0,市電供電,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,0.39057,-0.0,-3.98826,1.25133,1.75134,1.37587
02:30,2,30,20.0,市電供電,109.357,109.37,7.78,6.86,109.372,109.378,4.57,4.57,109.356,109.361,6.4,6.4,109.368,109.374,5.03,5.03,1.66684,-0.0,-3.58779,1.50159,2.1016,1.65104
02:45,2,45,20.0,市電供電,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,1.66684,-0.0,-3.58779,1.50159,2.1016,1.65104
03:00,3,0,20.0,市電供電,109.357,109.37,7.78,6.86,109.372,109.378,4.57,4.57,109.356,109.361,6.4,6.4,109.368,109.374,5.03,5.03,2.94311,-0.0,-3.18732,1.75186,2.45187,1.92621
03:15,3,15,20.0,市電供電,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,2.94311,-0.0,-3.18732,1.75186,2.45187,1.92621
03:30,3,30,20.0,市電供電,109.357,109.37,7.78,6.86,109.372,109.378,4.57,4.57,109.356,109.361,6.4,6.4,109.368,109.374,5.03,5.03,4.21938,-0.0,-2.78685,2.00212,2.80213,2.20138
03:45,3,45,20.0,市電供電,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,4.21938,-0.0,-2.78685,2.00212,2.80213,2.20138
04:00,4,0,20.0,市電供電,109.357,109.37,7.78,6.86,109.372,109.378,4.57,4.57,109.356,109.361,6.4,6.4,109.368,109.374,5.03,5.03,5.49564,-0.0,-2.38638,2.25238,3.1524,2.47655
04:15,4,15,20.0,市電供電,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,5.49564,-0.0,-2.38638,2.25238,3.1524,2.47655
04:30,4,30,20.0,市電供電,109.357,109.37,7.78,6.86,109.372,109.378,4.57,4.57,109.356,109.361,6.4,6.4,109.368,109.374,5.03,5.03,6.77191,-0.0,-1.98591,2.50265,3.50266,2.75172
04:45,4,45,20.0,市電供電,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,109.697,109.697,0.0,0.0,6.77191,-0.0,-1.98591,2.50265,3.50266,2.75172
05:00,5,0,20.0,市電供電,109.357,109.37,7.78,6.86,109.372,109.378,4.57,4.57,109.356,109.361,6.4,6.4,109.368,109.374,5.03,5.03,8.04818,-0.0,-1.58544,2.75291,3.85292,3.02689
