Time,Hour,Minute,ep_fridge_an,ep_washer_an,ep_dryer_bn,ep_boosterpump_abn,ep_pump,ep_1f_lighting1_an,ep_1f_lighting2_bn,ep_2f_lighting1_an,ep_2f_lighting2_bn,ep_3f_lighting1_an,ep_3f_lighting2_bn,ep_1f_wifi_an,ep_1f_WaterHeater_abn,ep_kitchen_bn,ep_2f_socket1_an,ep_2f_socket2_bn,l1_airc_abn,l1_lighting1_an,l1_lighting2_bn,l1_InductionCooktop_abn,l1_socket1_an,l1_socket2_bn,l1_socket3_an,l1_socket4_bn,l1_socket5_an,l1_socket6_bn,l2_Dehumidifier_bn,l2_bathroom1_an,l2_bathroom2_bn,l2_airc1_abn,l2_airc2_abn,l2_lighting1_an,l2_lighting2_bn,l2_socket1_an,l2_socket2_bn,l2_socket3_an,l2_socket4_bn,l2_socket5_an,l2_socket6_bn,l2_socket7_an,l3_airc_abn,l3_lighting1_an,l3_lighting2_bn,l3_socket1_an,l3_socket2_bn,l3_socket3_an,l3_socket4_bn,l3_socket5_an,l3_socket6_bn,l3_socket7_an,l3_socket8_bn
00:00,0,0,190.0,200.0,200.0,0.0,0.0,6.4,6.4,6.4,6.4,6.4,6.4,200.0,0.0,0.0,10.0,10.0,88.88000000000001,7.68,7.68,0.0,12.0,12.0,12.0,12.0,12.0,12.0,266.84,28.195999999999998,28.195999999999998,124.432,124.432,8.96,8.96,14.0,14.0,14.0,14.0,14.0,14.0,14.0,142.208,10.24,10.24,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
00:15,0,15,190.66,200.0,200.0,0.0,0.0,6.4,6.4,6.4,6.4,6.4,6.4,200.0,0.0,0.0,10.0,10.0,81.78,7.68,7.68,0.0,12.0,12.0,12.0,12.0,12.0,12.0,269.78000000000003,18.927999999999997,18.927999999999997,114.49199999999999,114.49199999999999,8.96,8.96,14.0,14.0,14.0,14.0,14.0,14.0,14.0,130.84799999999998,10.24,10.24,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
00:30,0,30,191.3,200.0,200.0,0.0,0.0,6.4,6.4,6.4,6.4,6.4,6.4,200.0,0.0,0.0,10.0,10.0,72.88,7.68,7.68,0.0,12.0,12.0,12.0,12.0,12.0,12.0,272.384,12.292,12.292,102.032,102.032,8.96,8.96,14.0,14.0,14.0,14.0,14.0,14.0,14.0,116.608,10.24,10.24,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
00:45,0,45,191.96,200.0,200.0,0.0,0.0,6.4,6.4,6.4,6.4,6.4,6.4,200.0,0.0,0.0,10.0,10.0,63.04,7.68,7.68,0.0,12.0,12.0,12.0,12.0,12.0,12.0,274.652,7.755999999999999,7.755999999999999,88.256,88.256,8.96,8.96,14.0,14.0,14.0,14.0,14.0,14.0,14.0,100.86399999999999,10.24,10.24,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
01:00,1,0,192.57999999999998,200.0,200.0,0.0,0.0,6.4,6.4,6.4,6.4,6.4,6.4,200.0,0.0,0.0,10.0,10.0,53.02,7.68,7.68,0.0,12.0,12.0,12.0,12.0,12.0,12.0,276.556,4.731999999999999,4.731999999999999,74.228,74.228,8.96,8.96,14.0,14.0,14.0,14.0,14.0,14.0,14.0,84.832,10.24,10.24,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
01:15,1,15,193.22,200.0,200.0,0.0,0.0,6.4,6.4,6.4,6.4,6.4,6.4,200.0,0.0,0.0,10.0,10.0,43.54,7.68,7.68,0.0,12.0,12.0,12.0,12.0,12.0,12.0,278.04,2.8000000000000003,2.8000000000000003,60.956,60.956,8.96,8.96,14.0,14.0,14.0,14.0,14.0,14.0,14.0,69.664,10.24,10.24,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
01:30,1,30,193.82,200.0,200.0,0.0,0.0,6.4,6.4,6.4,6.4,6.4,6.4,200.0,0.0,0.0,10.0,10.0,35.08,7.68,7.68,0.0,12.0,12.0,12.0,12.0,12.0,12.0,279.132,1.596,1.596,49.112,49.112,8.96,8.96,14.0,14.0,14.0,14.0,14.0,14.0,14.0,56.128,10.24,10.24,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
01:45,1,45,194.42,200.0,200.0,0.0,0.0,6.4,6.4,6.4,6.4,6.4,6.4,200.0,0.0,0.0,10.0,10.0,27.939999999999998,7.68,7.68,0.0,12.0,12.0,12.0,12.0,12.0,12.0,279.776,0.896,0.896,39.116,39.116,8.96,8.96,14.0,14.0,14.0,14.0,14.0,14.0,14.0,44.70399999999999,10.24,10.24,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
02:00,2,0,195.0,200.0,200.0,160.0,0.0,6.4,6.4,6.4,6.4,6.4,6.4,200.0,0.0,0.0,10.0,10.0,22.220000000000002,7.68,7.68,0.0,12.0,12.0,12.0,12.0,12.0,12.0,280.0,0.476,0.476,31.108,31.108,8.96,8.96,14.0,14.0,14.0,14.0,14.0,14.0,14.0,35.552,10.24,10.24,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
02:15,2,15,195.56,200.0,200.0,0.0,0.0,6.4,6.4,6.4,6.4,6.4,6.4,200.0,0.0,0.0,10.0,10.0,17.86,7.68,7.68,0.0,12.0,12.0,12.0,12.0,12.0,12.0,279.776,0.252,0.252,25.004,25.004,8.96,8.96,14.0,14.0,14.0,14.0,14.0,14.0,14.0,28.576,10.24,10.24,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
